"type","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"red","very low","very high","very low","low","low","low","low","low","very high","very high","very high","high"
"white","high","high","medium","high","medium","medium","medium","medium","very high","low","high","medium"
"red","very high","high","very high","medium","very high","very low","very low","very high","low","medium","low","medium"
"white","low","very low","low","high","medium","very low","low","medium","low","very low","medium","medium"
"red","very high","very high","very low","low","very high","low","very low","high","very high","very high","high","medium"
"white","medium","very low","high","high","very low","medium","low","low","medium","low","very high","medium"
"white","low","very low","medium","medium","low","low","low","low","very high","very high","very high","high"
"red","medium","high","very low","medium","high","low","very low","medium","very high","high","high","medium"
"red","very high","very high","very low","medium","very high","low","very low","very high","very high","high","low","medium"
"white","high","very high","very low","very low","very high","low","high","medium","very low","high","very low","low"
"white","low","very low","very high","high","medium","very high","high","medium","very low","very low","very low","medium"
"white","high","low","low","medium","medium","low","low","very low","very low","low","high","medium"
"white","low","low","high","high","very low","medium","medium","low","medium","low","very high","medium"
"white","medium","medium","very high","very low","low","high","medium","very low","very low","low","high","high"
"white","low","very low","low","low","low","very high","high","low","low","low","medium","medium"
"white","very high","medium","low","high","medium","medium","medium","medium","low","medium","medium","medium"
"white","low","medium","low","very high","high","high","very high","very high","very high","high","very low","medium"
"white","very low","very low","high","very low","low","low","low","very low","low","medium","very high","high"
"red","very high","very low","high","low","high","very low","very low","medium","very high","very high","high","medium"
"white","medium","low","medium","high","very low","high","very high","low","medium","very high","very high","medium"
"white","medium","very low","very high","very high","low","low","medium","very high","very low","medium","low","medium"
"white","low","high","very high","very low","very high","medium","medium","low","low","high","medium","medium"
"red","low","very high","very low","very low","high","very low","very low","very low","very high","medium","very high","medium"
"white","very low","high","very low","low","very low","low","low","very low","very high","medium","very high","medium"
"white","very low","low","very high","very high","high","medium","low","very high","very low","low","very low","medium"
"white","very high","very low","very high","very high","low","very high","very high","very high","very low","low","very low","medium"
"white","high","low","very low","high","medium","high","high","high","medium","high","low","medium"
"red","low","very high","very low","low","high","low","very low","low","very high","high","very high","medium"
"red","high","very high","very low","low","very high","very low","very low","high","very high","low","medium","medium"
"white","high","high","very high","very high","very high","very high","very high","very high","very low","low","very low","medium"
"red","high","high","medium","low","high","very low","low","high","very high","high","medium","medium"
"red","very low","very high","very low","low","high","high","very low","medium","very high","medium","high","medium"
"white","very low","low","medium","medium","very low","medium","medium","very low","very high","very high","very high","high"
"white","very low","low","very low","very high","low","medium","high","very high","very high","very high","low","medium"
"white","high","high","high","very high","high","medium","medium","very high","low","very low","low","medium"
"red","medium","very high","very low","medium","very high","low","very low","medium","very high","very high","high","medium"
"white","medium","high","medium","medium","very low","high","high","very low","very high","medium","very high","high"
"white","low","very low","low","high","low","very high","very high","medium","very high","very low","medium","medium"
"white","low","medium","medium","low","low","very low","very high","low","medium","high","medium","medium"
"white","very high","medium","high","very high","medium","very high","medium","high","medium","medium","medium","medium"
"white","medium","very high","low","high","medium","very low","low","medium","medium","high","low","medium"
"white","medium","very low","high","very low","low","high","medium","very low","medium","very high","very high","medium"
"white","very low","very low","high","low","very low","medium","high","very low","very high","very high","very high","medium"
"white","high","very low","medium","very high","high","very high","high","very high","very low","medium","very low","medium"
"white","low","medium","very high","high","very low","medium","low","very low","medium","very high","very high","high"
"white","high","high","very low","very high","medium","low","low","high","medium","very low","high","medium"
"white","very low","medium","high","medium","low","high","low","very low","medium","high","very high","medium"
"white","medium","low","high","high","high","low","low","medium","very low","high","low","medium"
"white","very low","low","high","low","low","very low","low","very low","very low","low","very high","high"
"red","very high","very high","very high","medium","very high","very low","very low","very high","very high","very high","very high","medium"
"white","very low","very low","low","very low","low","high","low","very low","very high","low","high","high"
"white","very low","very high","medium","very low","low","low","low","very low","very high","low","very high","high"
"red","very high","very high","medium","medium","very high","very low","very low","high","very high","very high","very high","medium"
"white","medium","medium","high","high","very low","high","very high","high","very high","low","very low","medium"
"white","very low","very high","low","high","very low","low","medium","very low","very high","medium","very high","medium"
"red","very low","high","medium","very high","high","very low","medium","high","very high","high","very high","low"
"white","very high","very low","medium","high","medium","very high","high","high","low","very low","low","medium"
"white","medium","low","very high","high","medium","very high","very high","high","medium","low","low","medium"
"white","low","medium","medium","high","medium","medium","high","low","very high","high","high","medium"
"white","very low","medium","very low","very low","high","high","medium","low","low","low","very low","medium"
"white","very low","high","low","medium","very low","medium","high","very low","very high","high","very high","high"
"white","high","medium","medium","high","very low","very low","medium","high","low","high","medium","medium"
"red","very high","high","high","low","high","very low","very low","medium","very high","very high","very high","high"
"red","very high","very high","low","medium","high","very low","very low","high","very high","high","high","medium"
"white","medium","very high","low","very high","very low","medium","medium","very high","very low","low","medium","medium"
"white","high","medium","very high","high","medium","low","low","very low","very low","low","very high","low"
"white","very high","very low","low","low","low","very low","high","medium","very low","very high","low","medium"
"white","low","medium","very high","high","medium","very high","very high","medium","low","low","very low","medium"
"white","high","very high","very low","very low","high","medium","high","medium","medium","medium","low","low"
"white","high","low","low","very high","high","very high","very high","very high","low","very low","very low","high"
"white","medium","high","medium","high","very high","medium","high","high","medium","medium","low","medium"
"white","low","low","very low","very low","low","high","high","low","very high","high","medium","medium"
"red","high","high","very high","low","very high","low","low","high","low","very high","very low","medium"
"white","medium","very low","high","low","very low","medium","high","low","very high","high","medium","medium"
"white","very low","medium","very low","medium","low","medium","medium","medium","very low","low","very low","medium"
"red","very high","very high","very high","low","very high","very low","very low","very high","very high","high","very low","low"
"red","very low","very high","very low","low","very high","very low","very low","high","very high","low","medium","medium"
"white","low","low","medium","very low","low","low","medium","very low","very high","low","very high","medium"
"red","very high","medium","very high","low","high","very low","very low","low","very high","high","very high","high"
"white","low","very low","low","very low","low","low","low","very low","very high","low","high","high"
"white","high","medium","very high","low","very low","high","high","very low","very high","medium","very high","medium"
"white","medium","high","high","medium","very low","very high","medium","very low","very high","very low","very high","best"
"white","low","low","very high","very high","very low","very high","very high","very high","low","very low","very low","medium"
"white","very low","medium","very low","very low","high","high","very high","very low","very high","low","high","medium"
"white","medium","high","very low","very high","high","medium","medium","very high","medium","medium","very low","medium"
"white","very low","very low","medium","very low","low","high","low","very low","very high","very high","very high","high"
"white","very low","very low","very high","very low","very low","medium","medium","very low","very high","very low","high","high"
"white","low","very low","high","very low","low","low","low","very low","low","low","very high","high"
"red","very high","high","very high","medium","high","medium","very low","high","very high","very high","very high","medium"
